,id
1571,streichquartett
1572,bengali folk
1573,hungarian folk
1574,magyar alternative
1575,monterrey indie
1576,folclore extremeno
1577,kashmiri pop
1578,italian baritone
1579,trad jazz catala
1580,classical horn
1581,qawwali
1582,english renaissance
1583,renaissance
1584,marathi traditional
1585,fado
1586,guitarra portuguesa
1587,soda pop
1588,caucasian classical
1589,indian jazz
1590,indian violin
1591,chinese instrumental
1592,jazz accordion
1593,german hip hop
1594,kannada bhava geethe
1595,pakistani folk
1596,serialism
1597,irish classical
1598,deep delta blues
1599,traditional southern folk
1600,telugu devotional
1601,classical contralto
1602,afghan pop
1603,afghan traditional
1604,flick hop
1605,canadian classical
1606,japanese traditional
1607,traditional rockabilly
1608,german jazz
1609,canadian rockabilly
1610,canadian blues
1611,gregorian chant
1612,deep soundtrack
1613,music box
1614,contemporary gospel
1615,papuri
1616,canzone d'autore
1617,canadian indigenous
1618,american primitive
1619,drone folk
1620,fingerstyle
1621,military cadence
1622,vintage french electronic
1623,dabke
1624,south african jazz
1625,brazilian indie
1626,brazilian rock
1627,japanese psychedelic
1628,deep funk
1629,nova mpb
1630,samba de roda
1631,traditional soul
1632,persian pop
1633,nueva ola chilena
1634,nova canco
1635,musica popular mineira
1636,michigan indie
1637,canterbury scene
1638,irish pub song
1639,indie quebecois
1640,prog quebec
1641,dusseldorf electronic
1642,mallet
1643,traditional bluegrass
1644,afro-funk
1645,italian classical piano
1646,latin soundtrack
1647,jazz cubano
1648,mariachi cristiano
1649,musica jibara
1650,classical saxophone
1651,bossa nova jazz
1652,jazz orchestra
