,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
151,0.922,0.959,7,-3.542,1,0.277,0.063,1.47e-05,0.151,0.51,94.674,4,2
152,0.671,0.256,7,-10.743,1,0.0387,0.608,0.0,0.0737,0.694,115.871,4,2
153,0.8,0.52,5,-7.251,0,0.328,0.175,0.0,0.326,0.599,120.244,4,2
154,0.664,0.634,2,-6.348,1,0.0349,0.683,3.34e-05,0.221,0.666,93.914,4,2
155,0.668,0.6,1,-7.469,0,0.255,0.57,0.0,0.101,0.206,81.002,4,2
156,0.682,0.806,6,-4.326,0,0.0433,0.775,0.873,0.0992,0.186,139.996,4,2
157,0.73,0.816,7,-5.402,1,0.304,0.177,1.23e-05,0.415,0.803,142.054,4,2
158,0.888,0.408,8,-10.162,0,0.487,0.164,0.0,0.0912,0.742,77.029,4,2
159,0.894,0.472,4,-9.837,1,0.307,0.0597,0.0,0.139,0.464,139.977,4,2
160,0.615,0.612,5,-5.902,0,0.326,0.02,0.0,0.112,0.31,92.562,3,2
161,0.81,0.794,5,-5.061,1,0.3,0.572,0.0,0.126,0.829,141.008,4,2
162,0.622,0.41,8,-14.002,1,0.409,0.451,1.86e-05,0.191,0.472,77.426,4,2
163,0.882,0.839,4,-3.193,1,0.082,0.156,0.0,0.132,0.71,117.032,4,2
164,0.678,0.552,11,-7.915,0,0.374,0.528,0.0,0.135,0.603,83.951,4,2
165,0.865,0.64,7,-7.201,1,0.325,0.0185,0.0,0.308,0.4,114.621,5,2
166,0.638,0.874,11,-1.642,0,0.298,0.0328,0.0,0.18,0.565,84.775,4,2
167,0.943,0.641,1,-5.598,1,0.191,0.0016,0.0,0.211,0.242,99.099,4,2
168,0.851,0.598,0,-8.356,1,0.439,0.000595,0.0,0.343,0.654,180.046,4,2
169,0.588,0.598,2,-9.455,1,0.295,0.303,0.00261,0.111,0.344,130.027,4,2
170,0.546,0.651,1,-7.601,1,0.3,0.000739,0.0,0.235,0.646,77.878,4,2
171,0.711,0.663,1,-7.871,1,0.258,0.00099,8.13e-05,0.324,0.768,177.041,4,2
172,0.573,0.867,5,-2.876,0,0.168,0.0853,0.0,0.38,0.231,74.861,4,2
173,0.751,0.744,1,-6.859,1,0.177,0.152,0.000568,0.252,0.634,148.014,4,2
174,0.767,0.753,2,-5.438,0,0.27,0.0639,0.0,0.0852,0.646,84.972,4,2
175,0.866,0.438,2,-10.146,1,0.447,0.0851,0.0,0.21,0.841,139.982,4,2
176,0.884,0.639,1,-6.832,0,0.246,0.111,1.66e-06,0.608,0.625,100.049,4,2
177,0.825,0.458,0,-7.47,1,0.0577,0.114,0.0,0.102,0.161,145.115,4,2
178,0.586,0.725,9,-6.844,0,0.381,0.248,0.0,0.0825,0.867,131.139,5,2
179,0.853,0.426,1,-6.812,1,0.374,0.0765,0.0,0.104,0.201,160.051,4,2
180,0.753,0.632,9,-8.054,1,0.0423,0.122,0.0,0.198,0.718,91.047,4,2
181,0.63,0.491,4,-5.549,0,0.41,0.766,0.0,0.101,0.497,98.368,4,2
182,0.783,0.757,11,-6.166,0,0.188,0.158,0.00371,0.0925,0.713,155.96,5,2
183,0.551,0.438,7,-10.297,0,0.187,0.243,0.0,0.0972,0.248,130.814,5,2
184,0.767,0.56,9,-6.135,1,0.216,0.0322,0.0,0.0675,0.232,96.04,4,2
185,0.571,0.767,2,-5.16,1,0.287,0.336,0.0,0.0809,0.605,93.421,4,2
186,0.876,0.5,11,-8.274,0,0.298,0.155,0.0,0.107,0.559,106.096,4,2
187,0.76,0.476,8,-8.103,1,0.241,0.294,0.0,0.1,0.354,147.01,4,2
188,0.783,0.571,8,-9.746,0,0.55,0.408,0.0,0.19,0.655,103.902,4,2
189,0.779,0.705,6,-5.891,0,0.163,0.00471,0.0,0.0971,0.196,140.005,4,2
190,0.872,0.707,1,-7.911,1,0.0513,0.0362,5.59e-06,0.27,0.92,132.955,4,2
191,0.475,0.882,11,-3.883,1,0.351,0.406,0.0,0.241,0.369,98.001,4,2
192,0.642,0.4,0,-10.529,0,0.407,0.792,4.54e-06,0.381,0.357,54.718,4,2
193,0.606,0.554,0,-8.875,0,0.299,0.714,0.0,0.159,0.654,139.355,4,2
194,0.715,0.651,4,-6.129,1,0.183,0.173,0.0,0.309,0.771,149.973,4,2
195,0.704,0.524,1,-6.724,0,0.403,0.00929,0.0,0.528,0.36,160.216,4,2
196,0.919,0.485,1,-5.062,1,0.241,0.0871,0.0,0.0742,0.33,89.976,4,2
197,0.787,0.713,7,-5.252,1,0.401,0.0849,0.0,0.717,0.761,175.046,4,2
198,0.809,0.461,4,-8.542,0,0.0592,0.224,0.0,0.111,0.399,106.006,5,2
199,0.86,0.71,7,-5.705,1,0.285,0.177,0.0,0.0865,0.764,122.993,4,2
200,0.893,0.537,7,-6.822,0,0.364,0.211,0.0,0.0599,0.588,140.038,4,2
201,0.814,0.481,0,-5.183,1,0.245,0.097,3.83e-05,0.0495,0.193,96.252,4,2
202,0.645,0.798,9,-9.737,1,0.123,0.0849,0.000218,0.352,0.408,106.077,4,2
203,0.904,0.498,2,-7.86,1,0.324,0.00919,0.0,0.0791,0.145,132.992,4,2
204,0.918,0.363,1,-8.937,1,0.506,0.293,1.02e-06,0.0797,0.61,107.962,4,2
205,0.731,0.41,9,-10.666,1,0.083,0.544,0.0,0.11,0.457,114.104,4,2
206,0.55,0.788,5,-4.998,0,0.0765,0.0282,0.0,0.392,0.401,142.001,4,2
207,0.701,0.839,1,-3.583,0,0.259,0.575,0.0,0.0943,0.527,86.504,4,2
208,0.67,0.331,4,-13.178,0,0.195,0.73,0.0,0.104,0.853,160.016,4,2
209,0.607,0.819,10,-3.22,0,0.167,0.152,0.0,0.195,0.734,177.021,4,2
210,0.59,0.672,1,-11.792,1,0.412,0.125,1.04e-06,0.147,0.688,206.247,4,2
211,0.841,0.545,9,-8.013,1,0.222,0.268,0.0,0.25,0.305,94.528,4,2
212,0.805,0.448,7,-9.452,1,0.112,0.0602,1.79e-06,0.113,0.775,160.018,4,2
213,0.596,0.487,6,-13.433,1,0.0765,0.376,0.00928,0.0931,0.125,108.925,4,2
214,0.834,0.489,5,-11.035,0,0.381,0.176,0.0,0.142,0.554,130.962,4,2
215,0.841,0.56,0,-5.679,1,0.276,0.053,0.0,0.114,0.659,160.878,4,2
216,0.833,0.69,11,-5.394,0,0.381,0.331,0.0,0.189,0.592,142.141,4,2
217,0.915,0.641,10,-8.739,0,0.188,0.00941,1.73e-06,0.111,0.77,139.97,4,2
218,0.856,0.665,1,-4.618,1,0.189,0.0128,0.00508,0.0695,0.367,93.953,4,2
219,0.565,0.777,6,-5.096,0,0.249,0.183,0.0,0.211,0.619,88.311,4,2
220,0.869,0.697,7,-4.639,1,0.187,0.00838,0.0,0.297,0.804,95.03,4,2
221,0.677,0.539,7,-14.439,1,0.063,0.0455,1.84e-06,0.845,0.469,95.116,4,2
222,0.597,0.617,8,-7.482,0,0.282,0.463,0.0,0.66,0.889,97.923,4,2
223,0.579,0.841,10,-7.135,1,0.0708,0.147,0.54,0.0912,0.929,174.933,5,2
224,0.747,0.574,1,-6.587,1,0.24,0.561,0.0,0.1,0.436,127.981,4,2
225,0.592,0.77,1,-3.402,1,0.318,0.122,1.22e-06,0.103,0.361,191.692,4,2
226,0.822,0.63,8,-5.642,1,0.117,0.137,7.72e-06,0.157,0.382,138.008,4,2
227,0.479,0.352,7,-11.12,1,0.458,0.373,0.0,0.125,0.199,170.857,4,2
228,0.871,0.545,7,-10.489,1,0.189,0.0143,0.0,0.148,0.722,100.482,4,2
229,0.895,0.469,1,-5.882,1,0.0661,0.0012,4.56e-05,0.192,0.076,126.917,4,2
230,0.795,0.6,2,-14.004,1,0.341,0.112,0.000171,0.111,0.633,101.78,4,2
231,0.879,0.574,10,-5.602,0,0.391,0.519,8.76e-06,0.144,0.346,144.911,4,2
232,0.908,0.557,8,-4.243,0,0.107,0.242,0.0,0.0709,0.897,90.032,4,2
233,0.829,0.619,9,-8.275,0,0.0996,0.0871,1.3e-06,0.119,0.217,102.025,4,2
234,0.88,0.575,6,-6.091,1,0.163,0.415,0.0,0.109,0.671,120.031,4,2
235,0.78,0.972,6,0.119,0,0.253,0.0107,0.0296,0.1,0.958,137.056,4,2
236,0.874,0.531,11,-8.425,1,0.34,0.0252,0.0,0.305,0.514,111.999,4,2
237,0.638,0.859,6,-5.768,1,0.0443,0.0771,3.61e-05,0.464,0.756,111.001,4,2
238,0.84,0.671,0,-6.676,1,0.255,0.267,0.00175,0.179,0.619,143.104,3,2
239,0.741,0.658,7,-7.758,1,0.0853,0.643,3.43e-06,0.307,0.746,142.057,4,2
240,0.473,0.824,1,-5.268,1,0.332,0.059,0.0,0.422,0.554,141.331,4,2
241,0.754,0.65,6,-7.727,0,0.372,0.0594,0.0,0.103,0.309,135.161,4,2
242,0.573,0.86,1,-8.367,1,0.377,0.282,0.0,0.075,0.743,82.972,4,2
243,0.69,0.889,11,-6.689,0,0.166,0.00876,0.00226,0.302,0.761,96.02,4,2
244,0.863,0.676,11,-9.949,0,0.175,0.2,0.000698,0.0929,0.538,111.022,4,2
245,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,4,2
246,0.77,0.656,10,-11.169,0,0.246,0.11,0.0,0.0793,0.788,98.82,4,2
247,0.849,0.707,0,-6.002,1,0.113,0.0266,8.58e-06,0.618,0.602,104.027,4,2
248,0.847,0.629,9,-5.81,1,0.102,0.0318,0.0,0.152,0.109,135.976,4,2
249,0.408,0.911,1,-5.647,1,0.344,0.201,0.0,0.108,0.104,93.917,4,2
250,0.349,0.363,4,-11.718,1,0.0394,0.537,0.000282,0.0824,0.103,169.928,4,2
251,0.609,0.786,4,-6.777,0,0.264,0.462,0.0,0.109,0.544,92.795,4,2
252,0.677,0.504,7,-4.688,1,0.0344,0.0201,0.688,0.0712,0.542,79.985,4,2
253,0.894,0.618,2,-7.619,1,0.281,0.0429,0.0,0.0664,0.653,133.927,4,2
254,0.887,0.485,11,-9.358,0,0.2,0.0392,0.0,0.141,0.328,125.987,4,2
255,0.854,0.51,8,-8.469,1,0.219,0.411,0.0,0.312,0.527,82.5,4,2
256,0.863,0.916,2,-4.523,1,0.137,0.0829,7.09e-06,0.566,0.964,145.182,4,2
257,0.719,0.762,6,-6.623,1,0.114,0.199,9.89e-06,0.358,0.676,100.08,4,2
258,0.672,0.545,1,-7.249,0,0.35,0.0493,0.0,0.167,0.425,82.457,4,2
259,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,4,2
260,0.552,0.765,1,-8.21,1,0.334,0.234,0.0,0.275,0.77,155.093,4,2
261,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,4,2
262,0.853,0.576,10,-6.264,0,0.173,0.739,0.0,0.109,0.692,139.999,4,2
263,0.829,0.588,0,-4.954,1,0.036,0.0531,0.00431,0.0779,0.497,104.968,4,2
264,0.313,0.87,1,-6.613,0,0.114,0.432,0.0191,0.116,0.117,92.685,4,2
265,0.539,0.615,1,-8.746,0,0.252,0.173,0.0056,0.144,0.493,163.924,4,2
266,0.787,0.73,11,-6.788,0,0.35,0.0276,0.00157,0.0828,0.739,159.825,4,2
267,0.554,0.8,8,-3.936,1,0.0395,0.119,0.0,0.629,0.463,115.056,4,2
268,0.764,0.522,2,-9.821,1,0.361,0.35,0.000513,0.11,0.475,74.969,4,2
269,0.693,0.88,11,-3.228,0,0.0661,0.0901,0.0,0.211,0.397,88.088,4,2
270,0.462,0.43,6,-11.384,0,0.474,0.874,0.0,0.527,0.539,67.21,3,2
271,0.734,0.729,1,-6.381,0,0.283,0.147,0.0,0.0672,0.805,76.03,4,2
272,0.854,0.564,1,-4.964,1,0.0485,0.0171,0.0,0.0849,0.899,134.071,4,2
273,0.59,0.606,5,-5.843,0,0.322,0.211,0.0,0.126,0.56,83.986,4,2
274,0.619,0.573,1,-7.277,1,0.393,0.0352,0.0,0.228,0.376,175.187,3,2
275,0.878,0.65,11,-8.08,0,0.252,0.0178,0.0,0.0408,0.101,92.03,4,2
276,0.556,0.847,11,-6.361,0,0.0939,0.0503,0.906,0.326,0.663,139.942,4,2
277,0.838,0.587,11,-6.604,0,0.134,0.208,0.0,0.199,0.535,75.485,4,2
278,0.932,0.835,1,-3.905,1,0.156,0.105,0.0,0.0847,0.926,144.02,4,2
279,0.93,0.467,8,-8.449,1,0.116,0.00906,0.0062,0.131,0.169,139.972,4,2
280,0.568,0.847,5,-7.953,0,0.332,0.403,0.000436,0.173,0.833,188.001,4,2
281,0.528,0.522,4,-7.407,0,0.11,0.105,0.0,0.0997,0.212,83.178,4,2
282,0.77,0.637,1,-5.53,1,0.345,0.103,0.0,0.171,0.431,94.966,4,2
